Kraj,Okres,Obec,test2,poz2,% poz2,test3,poz3,% poz3,test4a,poz4a,% poz4a,test4b,poz4b,% poz4b,test4c,poz4c,% poz4c
Prešovský,Bardejov,Gaboltov,204,1,"0,49%",205,3,"1,46%",113,0,"0,00%",13,0,"0,00%",126,0,"0,00%"
Prešovský,Bardejov,Hertník,664,8,"1,20%",652,11,"1,69%",228,6,"2,63%",61,0,"0,00%",289,6,"2,08%"
Prešovský,Bardejov,Hrabovec,331,12,"3,63%",306,6,"1,96%",89,1,"1,12%",23,1,"4,35%",112,2,"1,79%"
Prešovský,Bardejov,Hrabské,249,10,"4,02%",306,10,"3,27%",112,0,"0,00%",10,0,"0,00%",122,0,"0,00%"
Prešovský,Bardejov,Janovce,222,8,"3,60%",289,5,"1,73%",77,5,"6,49%",11,0,"0,00%",88,5,"5,68%"
Prešovský,Bardejov,Koprivnica,452,7,"1,55%",433,5,"1,15%",148,0,"0,00%",53,2,"3,77%",201,2,"1,00%"
Prešovský,Bardejov,Kurima,634,15,"2,37%",646,7,"1,08%",169,1,"0,59%",25,0,"0,00%",194,1,"0,52%"
Prešovský,Bardejov,Lenartov,706,19,"2,69%",679,7,"1,03%",137,2,"1,46%",15,0,"0,00%",152,2,"1,32%"
Prešovský,Bardejov,Lipová,103,0,"0,00%",81,2,"2,47%",17,0,"0,00%",2,0,"0,00%",19,0,"0,00%"
Prešovský,Bardejov,Livov,73,1,"1,37%",73,1,"1,37%",21,0,"0,00%",9,0,"0,00%",30,0,"0,00%"
Prešovský,Bardejov,Lopúchov,185,2,"1,08%",212,3,"1,42%",29,0,"0,00%",17,2,"11,76%",46,2,"4,35%"
Prešovský,Bardejov,Malcov,753,46,"6,11%",821,26,"3,17%",273,3,"1,10%",43,0,"0,00%",316,3,"0,95%"
Prešovský,Bardejov,Ortuťová,110,6,"5,45%",111,5,"4,50%",38,0,"0,00%",10,0,"0,00%",48,0,"0,00%"
Prešovský,Bardejov,Petrová,575,8,"1,39%",575,8,"1,39%",131,1,"0,76%",39,0,"0,00%",170,1,"0,59%"
Prešovský,Bardejov,Rokytov,713,21,"2,95%",267,11,"4,12%",90,2,"2,22%",78,9,"11,54%",168,11,"6,55%"
Prešovský,Bardejov,Smilno,470,18,"3,83%",443,9,"2,03%",145,1,"0,69%",27,1,"3,70%",172,2,"1,16%"
Prešovský,Bardejov,Šarišské Čierne,140,3,"2,14%",148,2,"1,35%",30,0,"0,00%",7,1,"14,29%",37,1,"2,70%"
Prešovský,Bardejov,Tarnov,419,10,"2,39%",343,5,"1,46%",93,0,"0,00%",58,8,"13,79%",151,8,"5,30%"
Prešovský,Bardejov,Vyšná Voľa,182,5,"2,75%",211,3,"1,42%",119,2,"1,68%",16,0,"0,00%",135,2,"1,48%"
Prešovský,Bardejov,Vyšný Kručov,129,0,"0,00%",155,2,"1,29%",16,0,"0,00%",6,0,"0,00%",22,0,"0,00%"
Prešovský,Bardejov,Zborov,1496,32,"2,14%",1646,32,"1,94%",547,2,"0,37%",114,3,"2,63%",661,5,"0,76%"
Prešovský,Bardejov,Zlaté,449,13,"2,90%",529,6,"1,13%",168,1,"0,60%",29,0,"0,00%",197,1,"0,51%"
Prešovský,Humenné,Baškovce,503,19,"3,78%",436,6,"1,38%",82,0,"0,00%",16,0,"0,00%",98,0,"0,00%"
Prešovský,Humenné,Hankovce,423,13,"3,07%",383,4,"1,04%",96,2,"2,08%",14,0,"0,00%",110,2,"1,82%"
Prešovský,Humenné,Jasenov,1 009,20,"1,98%",1 032,12,"1,16%",165,0,"0,00%",77,1,"1,30%",242,1,"0,41%"
Prešovský,Humenné,Košarovce,620,12,"1,94%",627,7,"1,12%",149,1,"0,67%",26,0,"0,00%",175,1,"0,57%"
Prešovský,Humenné,Ľubiša,761,19,"2,50%",714,11,"1,54%",211,0,"0,00%",28,0,"0,00%",239,0,"0,00%"
Prešovský,Humenné,Lukačovce,493,15,"3,04%",475,5,"1,05%",123,0,"0,00%",6,1,"16,67%",129,1,"0,78%"
Prešovský,Humenné,Myslina,424,16,"3,77%",369,4,"1,08%",114,1,"0,88%",29,7,"24,14%",143,8,"5,59%"
Prešovský,Humenné,Nižné Ladičkovce,375,8,"2,13%",346,5,"1,45%",79,0,"0,00%",8,0,"0,00%",87,0,"0,00%"
Prešovský,Humenné,Ohradzany,398,8,"2,01%",400,8,"2,00%",102,7,"6,86%",15,1,"6,67%",117,8,"6,84%"
Prešovský,Humenné,Ptičie,502,10,"1,99%",357,4,"1,12%",45,0,"0,00%",10,0,"0,00%",55,0,"0,00%"
Prešovský,Humenné,Zbudské Dlhé,560,5,"0,89%",484,9,"1,86%",49,2,"4,08%",10,0,"0,00%",59,2,"3,39%"
Prešovský,Kežmarok,Jezersko,186,7,"3,76%",150,2,"1,33%",21,2,"9,52%",16,0,"0,00%",37,2,"5,41%"
Prešovský,Kežmarok,Jurské,900,12,"1,33%",808,11,"1,36%",233,2,"0,86%",18,0,"0,00%",251,2,"0,80%"
Prešovský,Kežmarok,Krížová Ves,1467,39,"2,66%",1304,15,"1,15%",308,1,"0,32%",69,5,"7,25%",377,6,"1,59%"
Prešovský,Kežmarok,Lendak,3095,89,"2,88%",2994,48,"1,60%",1678,48,"2,86%",52,1,"1,92%",1730,49,"2,83%"
Prešovský,Kežmarok,Malá Franková,333,10,"3,00%",116,2,"1,72%",27,0,"0,00%",18,1,"5,56%",45,1,"2,22%"
Prešovský,Kežmarok,Podhorany,1456,17,"1,17%",1859,18,"0,97%",53,1,"1,89%",7,0,"0,00%",60,1,"1,67%"
Prešovský,Kežmarok,Reľov,291,9,"3,09%",264,4,"1,52%",84,2,"2,38%",1,0,"0,00%",85,2,"2,35%"
Prešovský,Kežmarok,Slovenská Ves,1275,15,"1,18%",1173,16,"1,36%",404,17,"4,21%",57,5,"8,77%",461,22,"4,77%"
Prešovský,Kežmarok,Spišská Stará Ves,1187,25,"2,11%",1273,17,"1,34%",512,6,"1,17%",59,1,"1,69%",571,7,"1,23%"
Prešovský,Kežmarok,Spišské Hanušovce,457,32,"7,00%",378,9,"2,38%",193,2,"1,04%",0,0,"0,00%",193,2,"1,04%"
Prešovský,Kežmarok,Toporec,837,5,"0,60%",822,10,"1,22%",260,3,"1,15%",44,0,"0,00%",304,3,"0,99%"
Prešovský,Kežmarok,Veľká Franková,270,13,"4,81%",283,4,"1,41%",96,1,"1,04%",24,0,"0,00%",120,1,"0,83%"
Prešovský,Kežmarok,Vlková,659,14,"2,12%",640,7,"1,09%",238,5,"2,10%",63,8,"12,70%",301,13,"4,32%"
,,,,,,4,,,,,,,,,,,
Kraj,Okres,Obec,2 etapa 30.10.-1.11.,,,3 etapa 7.-8.11.,,,4 etapa 21.-22.11. rezidentní,,,4 etapa 21.-22.11. nerezident,,,4 etapa 21.-22.11. spolu,,
,,,test,poz,% poz,test,poz,% poz,test,poz,% poz,test,poz,% poz,test,poz,% poz
Prešovský,Kežmarok,Vojňany,190,3,"1,58%",183,4,"2,19%",84,1,"1,19%",12,0,"0,00%",96,1,"1,04%"
Prešovský,Kežmarok,Vrbov,840,9,"1,07%",799,11,"1,38%",256,4,"1,56%",105,4,"3,81%",361,8,"2,22%"
Prešovský,Kežmarok,Zálesie,51,1,"1,96%",75,4,"5,33%",15,0,"0,00%",11,2,"18,18%",26,2,"7,69%"
Prešovský,Kežmarok,Žakovce,564,14,"2,48%",532,7,"1,32%",161,4,"2,48%",90,8,"8,89%",251,12,"4,78%"
Prešovský,Levoča,Domaňovce,622,14,"2,25%",595,8,"1,34%",192,4,"2,08%",64,9,"14,06%",256,13,"5,08%"
Prešovský,Levoča,Dravce,558,23,"4,12%",504,7,"1,39%",138,7,"5,07%",37,3,"8,11%",175,10,"5,71%"
Prešovský,Levoča,Granč - Petrovce,509,9,"1,77%",452,5,"1,11%",104,0,"0,00%",22,1,"4,55%",126,1,"0,79%"
Prešovský,Levoča,Klčov,586,9,"1,54%",462,9,"1,95%",96,2,"2,08%",28,0,"0,00%",124,2,"1,61%"
Prešovský,Levoča,Kurimany,212,7,"3,30%",197,4,"2,03%",102,1,"0,98%",20,0,"0,00%",122,1,"0,82%"
Prešovský,Levoča,Levoča,6243,116,"1,86%",6356,83,"1,31%",2088,34,"1,63%",125,2,"1,60%",2213,36,"1,63%"
Prešovský,Levoča,Lúčka,47,0,"0,00%",43,1,"2,33%",10,0,"0,00%",12,0,"0,00%",22,0,"0,00%"
Prešovský,Levoča,Poľanovce,158,5,"3,16%",152,2,"1,32%",12,0,"0,00%",26,1,"3,85%",38,1,"2,63%"
Prešovský,Levoča,Spišský Hrhov,812,35,"4,31%",817,10,"1,22%",247,6,"2,43%",31,0,"0,00%",278,6,"2,16%"
Prešovský,Levoča,Úloža,127,2,"1,57%",145,3,"2,07%",37,0,"0,00%",12,0,"0,00%",49,0,"0,00%"
Prešovský,Levoča,Vyšné Repaše,124,0,"0,00%",125,2,"1,60%",18,0,"0,00%",8,0,"0,00%",26,0,"0,00%"
Prešovský,Poprad,Jánovce,1124,61,"5,43%",977,10,"1,02%",449,5,"1,11%",156,5,"3,21%",605,10,"1,65%"
Prešovský,Poprad,Spišský Štiavnik,1741,111,"6,38%",1460,30,"2,05%",383,1,"0,26%",81,8,"9,88%",464,9,"1,94%"
Prešovský,Poprad,Tatranská Javorina,331,3,"0,91%",274,3,"1,09%",32,0,"0,00%",23,0,"0,00%",55,0,"0,00%"
Prešovský,Poprad,Vydrník,820,55,"6,71%",686,14,"2,04%",122,1,"0,82%",9,0,"0,00%",131,1,"0,76%"
Prešovský,Prešov,Fulianka,470,6,"1,28%",303,4,"1,32%",83,1,"1,20%",47,2,"4,26%",130,3,"2,31%"
Prešovský,Prešov,Geraltov,99,5,"5,05%",185,2,"1,08%",27,1,"3,70%",29,0,"0,00%",56,1,"1,79%"
Prešovský,Prešov,Lada,600,6,"1,00%",550,6,"1,09%",176,3,"1,70%",233,18,"7,73%",409,21,"5,13%"
Prešovský,Prešov,Malý Slivník,704,18,"2,56%",577,21,"3,64%",360,6,"1,67%",27,1,"3,70%",387,7,"1,81%"
Prešovský,Prešov,Veľký Slivník,188,3,"1,60%",175,2,"1,14%",65,0,"0,00%",15,2,"13,33%",80,2,"2,50%"
Prešovský,Prešov,Žipov,258,2,"0,78%",256,9,"3,52%",77,2,"2,60%",47,1,"2,13%",124,3,"2,42%"
Prešovský,Sabinov,Bajerovce,189,6,"3,17%",198,3,"1,52%",43,1,"2,33%",5,0,"0,00%",48,1,"2,08%"
Prešovský,Sabinov,Červená Voda,398,8,"2,01%",324,6,"1,85%",58,0,"0,00%",7,0,"0,00%",65,0,"0,00%"
Prešovský,Sabinov,Ďačov,496,24,"4,84%",476,7,"1,47%",146,2,"1,37%",46,2,"4,35%",192,4,"2,08%"
Prešovský,Sabinov,Hanigovce,256,5,"1,95%",175,3,"1,71%",23,0,"0,00%",7,0,"0,00%",30,0,"0,00%"
Prešovský,Sabinov,Jakubova Voľa,257,6,"2,33%",242,4,"1,65%",80,0,"0,00%",12,0,"0,00%",92,0,"0,00%"
Prešovský,Sabinov,Jakubovany,627,14,"2,23%",612,10,"1,63%",198,1,"0,51%",17,0,"0,00%",215,1,"0,47%"
Prešovský,Sabinov,Jarovnice,4004,62,"1,55%",3761,51,"1,36%",1663,48,"2,89%",74,4,"5,41%",1737,52,"2,99%"
Prešovský,Sabinov,Kamenica,979,33,"3,37%",986,11,"1,12%",110,0,"0,00%",19,0,"0,00%",129,0,"0,00%"
Prešovský,Sabinov,Nižný Slavkov,446,12,"2,69%",427,5,"1,17%",95,0,"0,00%",19,0,"0,00%",114,0,"0,00%"
Prešovský,Sabinov,Ratvaj,97,2,"2,06%",81,1,"1,23%",25,0,"0,00%",16,0,"0,00%",41,0,"0,00%"
Prešovský,Sabinov,Ražňany,1120,21,"1,88%",966,10,"1,04%",204,0,"0,00%",26,2,"7,69%",230,2,"0,87%"
Prešovský,Sabinov,Renčišov,320,4,"1,25%",262,3,"1,15%",35,0,"0,00%",18,0,"0,00%",53,0,"0,00%"
Prešovský,Sabinov,Sabinov,5770,194,"3,36%",6138,75,"1,22%",1384,4,"0,29%",311,19,"6,11%",1695,23,"1,36%"
Prešovský,Sabinov,Šarišské Sokolovce,429,16,"3,73%",394,5,"1,27%",47,0,"0,00%",26,1,"3,85%",73,1,"1,37%"
Prešovský,Sabinov,Uzovský Šalgov,580,7,"1,21%",525,6,"1,14%",144,1,"0,69%",35,0,"0,00%",179,1,"0,56%"
Prešovský,Snina,Čukalovce,322,4,"1,24%",300,3,"1,00%",24,0,"0,00%",27,0,"0,00%",51,0,"0,00%"
Prešovský,Snina,Dúbrava,278,2,"0,72%",273,5,"1,83%",24,0,"0,00%",19,0,"0,00%",43,0,"0,00%"
Prešovský,Snina,Stakčínska Roztoka,404,8,"1,98%",284,4,"1,41%",37,0,"0,00%",15,0,"0,00%",52,0,"0,00%"
Prešovský,Snina,Zemplínske Hámre,634,6,"0,95%",767,12,"1,56%",146,2,"1,37%",23,0,"0,00%",169,2,"1,18%"
Prešovský,Stará Ľubovňa,Čirč,713,81,"11,36%",535,32,"5,98%",151,3,"1,99%",16,0,"0,00%",167,3,"1,80%"
Prešovský,Stará Ľubovňa,Forbasy,474,20,"4,22%",340,6,"1,76%",173,1,"0,58%",40,1,"2,50%",213,2,"0,94%"
Prešovský,Stará Ľubovňa,Haligovce,411,15,"3,65%",416,8,"1,92%",152,4,"2,63%",40,0,"0,00%",192,4,"2,08%"
Prešovský,Stará Ľubovňa,Hraničné,178,2,"1,12%",157,3,"1,91%",44,2,"4,55%",14,1,"7,14%",58,3,"5,17%"
Prešovský,Stará Ľubovňa,Hromoš,406,20,"4,93%",314,5,"1,59%",74,0,"0,00%",24,2,"8,33%",98,2,"2,04%"
Prešovský,Stará Ľubovňa,Jakubany,1293,29,"2,24%",1218,21,"1,72%",294,11,"3,74%",22,1,"4,55%",316,12,"3,80%"
Prešovský,Stará Ľubovňa,Kamienka,683,26,"3,81%",667,19,"2,85%",178,8,"4,49%",16,0,"0,00%",194,8,"4,12%"
Prešovský,Stará Ľubovňa,Kolačkov,732,38,"5,19%",645,14,"2,17%",384,10,"2,60%",10,0,"0,00%",394,10,"2,54%"
,,,,,,5,,,,,,,,,,,
Kraj,Okres,Obec,2 etapa 30.10.-1.11.,,,3 etapa 7.-8.11.,,,4 etapa 21.-22.11. rezidentní,,,4 etapa 21.-22.11. nerezident,,,4 etapa 21.-22.11. spolu,,
,,,test,poz,% poz,test,poz,% poz,test,poz,% poz,test,poz,% poz,test,poz,% poz
Prešovský,Stará Ľubovňa,Kremná,0,0,,91,2,"2,20%",32,0,"0,00%",8,1,"12,50%",40,1,"2,50%"
Prešovský,Stará Ľubovňa,Lacková,144,0,"0,00%",154,4,"2,60%",34,2,"5,88%",9,0,"0,00%",43,2,"4,65%"
Prešovský,Stará Ľubovňa,Ľubotín,480,7,"1,46%",644,12,"1,86%",216,5,"2,31%",55,2,"3,64%",271,7,"2,58%"
Prešovský,Stará Ľubovňa,Malý Lipník,253,4,"1,58%",230,5,"2,17%",130,2,"1,54%",27,1,"3,70%",157,3,"1,91%"
Prešovský,Stará Ľubovňa,Mníšek nad Popradom,246,4,"1,63%",385,9,"2,34%",102,0,"0,00%",17,0,"0,00%",119,0,"0,00%"
Prešovský,Stará Ľubovňa,Nižné Ružbachy,488,16,"3,28%",443,5,"1,13%",99,0,"0,00%",29,1,"3,45%",128,1,"0,78%"
Prešovský,Stará Ľubovňa,Nová Ľubovňa,1717,53,"3,09%",1639,26,"1,59%",610,8,"1,31%",55,1,"1,82%",665,9,"1,35%"
Prešovský,Stará Ľubovňa,Plavnica,888,27,"3,04%",913,10,"1,10%",368,12,"3,26%",45,1,"2,22%",413,13,"3,15%"
Prešovský,Stará Ľubovňa,Pusté Pole,122,6,"4,92%",107,2,"1,87%",23,0,"0,00%",5,0,"0,00%",28,0,"0,00%"
Prešovský,Stará Ľubovňa,Stará Ľubovňa,8009,173,"2,16%",7593,101,"1,33%",2527,50,"1,98%",274,13,"4,74%",2801,63,"2,25%"
Prešovský,Stará Ľubovňa,Šambron,205,5,"2,44%",204,5,"2,45%",85,2,"2,35%",6,0,"0,00%",91,2,"2,20%"
Prešovský,Stará Ľubovňa,Údol,207,5,"2,42%",177,2,"1,13%",53,0,"0,00%",11,1,"9,09%",64,1,"1,56%"
Prešovský,Stará Ľubovňa,Veľký Lipník,506,10,"1,98%",473,8,"1,69%",134,7,"5,22%",30,1,"3,33%",164,8,"4,88%"
Prešovský,Stropkov,Korunková,60,0,"0,00%",63,1,"1,59%",9,0,"0,00%",3,0,"0,00%",12,0,"0,00%"
Prešovský,Stropkov,Lomné,237,1,"0,42%",170,3,"1,76%",43,0,"0,00%",7,0,"0,00%",50,0,"0,00%"
Prešovský,Stropkov,Miňovce,200,0,"0,00%",208,3,"1,44%",68,0,"0,00%",17,4,"23,53%",85,4,"4,71%"
Prešovský,Stropkov,Nižná Olšava,278,1,"0,36%",268,4,"1,49%",48,0,"0,00%",2,0,"0,00%",50,0,"0,00%"
Prešovský,Stropkov,Varechovce,95,1,"1,05%",85,1,"1,18%",29,0,"0,00%",1,0,"0,00%",30,0,"0,00%"
Prešovský,Stropkov,Vladiča,40,1,"2,50%",44,1,"2,27%",4,0,"0,00%",9,0,"0,00%",13,0,"0,00%"
Prešovský,Stropkov,Vojtovce,137,0,"0,00%",59,2,"3,39%",15,0,"0,00%",4,0,"0,00%",19,0,"0,00%"
Prešovský,Stropkov,Vyškovce,122,2,"1,64%",108,3,"2,78%",9,0,"0,00%",8,0,"0,00%",17,0,"0,00%"
Prešovský,Svidník,Beňadikovce,88,1,"1,14%",86,1,"1,16%",10,0,"0,00%",3,0,"0,00%",13,0,"0,00%"
Prešovský,Svidník,Dubová,80,0,"0,00%",126,2,"1,59%",19,0,"0,00%",4,0,"0,00%",23,0,"0,00%"
Prešovský,Svidník,Fijaš,173,0,"0,00%",169,3,"1,78%",38,0,"0,00%",30,5,"16,67%",68,5,"7,35%"
Prešovský,Svidník,Jurkova Voľa,50,0,"0,00%",49,2,"4,08%",5,0,"0,00%",2,0,"0,00%",7,0,"0,00%"
Prešovský,Svidník,Kalnište,271,8,"2,95%",275,4,"1,45%",122,1,"0,82%",38,5,"13,16%",160,6,"3,75%"
Prešovský,Svidník,Nižný Mirošov,168,1,"0,60%",127,2,"1,57%",7,0,"0,00%",4,0,"0,00%",11,0,"0,00%"
Prešovský,Svidník,Nová Polianka,94,0,"0,00%",118,2,"1,69%",5,0,"0,00%",8,0,"0,00%",13,0,"0,00%"
Prešovský,Svidník,Pstriná,82,0,"0,00%",76,3,"3,95%",8,2,"25,00%",8,0,"0,00%",16,2,"12,50%"
Prešovský,Svidník,Roztoky,176,1,"0,57%",194,2,"1,03%",6,0,"0,00%",3,0,"0,00%",9,0,"0,00%"
Prešovský,Vranov nad Topľou,Benkovce,391,4,"1,02%",365,5,"1,37%",58,0,"0,00%",59,2,"3,39%",117,2,"1,71%"
Prešovský,Vranov nad Topľou,Hlinné,1 236,8,"0,65%",1 233,15,"1,22%",277,3,"1,08%",62,5,"8,06%",339,8,"2,36%"
Prešovský,Vranov nad Topľou,Matiaška,498,2,"0,40%",500,8,"1,60%",68,4,"5,88%",12,0,"0,00%",80,4,"5,00%"
Prešovský,Vranov nad Topľou,Nižný Kručov,463,10,"2,16%",432,7,"1,62%",58,0,"0,00%",108,11,"10,19%",166,11,"6,63%"
Prešovský,Vranov nad Topľou,Pavlovce,634,6,"0,95%",659,7,"1,06%",186,6,"3,23%",27,0,"0,00%",213,6,"2,82%"
Prešovský,Vranov nad Topľou,Petrovce,450,2,"0,44%",422,5,"1,18%",103,5,"4,85%",49,0,"0,00%",152,5,"3,29%"
Prešovský,Vranov nad Topľou,Vlača,600,6,"1,00%",621,15,"2,42%",137,3,"2,19%",24,1,"4,17%",161,4,"2,48%"
Prešovský,Vranov nad Topľou,Zámutov,1 864,57,"3,06%",1 714,39,"2,28%",527,10,"1,90%",62,4,"6,45%",589,14,"2,38%"
Trenčiansky,Bánovce nad Bebravou,Brezolupy,239,7,"2,93%",231,3,"1,30%",67,1,"1,49%",33,0,"0,00%",100,1,"1,00%"
Trenčiansky,Bánovce nad Bebravou,Čierna Lehota,219,7,"3,20%",228,8,"3,51%",0,0,"0,00%",0,0,"0,00%",0,0,"0,00%"
Trenčiansky,Bánovce nad Bebravou,Kšinná,471,16,"3,40%",468,6,"1,28%",117,0,"0,00%",28,0,"0,00%",145,0,"0,00%"
Trenčiansky,Bánovce nad Bebravou,Nedašovce,516,13,"2,52%",282,7,"2,48%",22,0,"0,00%",11,0,"0,00%",33,0,"0,00%"
Trenčiansky,Bánovce nad Bebravou,Pravotice,387,4,"1,03%",310,10,"3,23%",50,0,"0,00%",25,0,"0,00%",75,0,"0,00%"
Trenčiansky,Bánovce nad Bebravou,Ruskovce,503,5,"0,99%",489,5,"1,02%",73,0,"0,00%",22,4,"18,18%",95,4,"4,21%"
Trenčiansky,Bánovce nad Bebravou,Rybany,610,14,"2,30%",795,9,"1,13%",162,2,"1,23%",53,1,"1,89%",215,3,"1,40%"
Trenčiansky,Bánovce nad Bebravou,Slatina nad Bebravou,205,3,"1,46%",206,4,"1,94%",41,0,"0,00%",18,0,"0,00%",59,0,"0,00%"
Trenčiansky,Bánovce nad Bebravou,Slatinka nad Bebravou,123,3,"2,44%",130,2,"1,54%",24,0,"0,00%",21,0,"0,00%",45,0,"0,00%"
Trenčiansky,Bánovce nad Bebravou,Uhrovec,1 038,21,"2,02%",969,10,"1,03%",253,0,"0,00%",64,3,"4,69%",317,3,"0,95%"
Trenčiansky,Bánovce nad Bebravou,Veľké Hoste,403,8,"1,99%",393,7,"1,78%",54,0,"0,00%",12,0,"0,00%",66,0,"0,00%"
Trenčiansky,Bánovce nad Bebravou,Veľké Chlievany,642,8,"1,25%",435,8,"1,84%",63,0,"0,00%",51,5,"9,80%",114,5,"4,39%"
Trenčiansky,Ilava,Červený Kameň,543,11,"2,03%",495,5,"1,01%",111,3,"2,70%",38,1,"2,63%",149,4,"2,68%"
Trenčiansky,Ilava,Ilava,3 484,44,"1,26%",3 552,46,"1,30%",654,14,"2,14%",356,25,"7,02%",1010,39,"3,86%"
,,,,,,6,,,,,,,,,,,
Kraj,Okres,Obec,2 etapa 30.10.-1.11.,,,3 etapa 7.-8.11.,,,4 etapa 21.-22.11. rezidentní,,,4 etapa 21.-22.11. nerezident,,,4 etapa 21.-22.11. spolu,,
,,,test,poz,% poz,test,poz,% poz,test,poz,% poz,test,poz,% poz,test,poz,% poz
